DATE,M2SL_PC1
1960-01-01,4.04745
1960-02-01,3.75391
1960-03-01,3.52697
1960-04-01,3.44709
1960-05-01,2.97741
1960-06-01,2.78817
1960-07-01,3.01491
1960-08-01,3.54251
1960-09-01,3.94338
1960-10-01,4.38449
1960-11-01,4.64490
1960-12-01,4.90262
1961-01-01,5.33199
1961-02-01,6.03015
1961-03-01,6.31263
1961-04-01,6.59780
1961-05-01,7.07876
1961-06-01,7.27754
1961-07-01,7.07004
1961-08-01,6.74487
1961-09-01,6.84176
1961-10-01,6.97900
1961-11-01,7.23705
1961-12-01,7.39437
1962-01-01,7.44986
1962-02-01,7.45656
1962-03-01,7.79139
1962-04-01,8.00250
1962-05-01,7.85227
1962-06-01,7.70891
1962-07-01,7.73956
1962-08-01,7.69231
1962-09-01,7.70865
1962-10-01,7.88281
1962-11-01,7.91842
1962-12-01,8.10730
1963-01-01,8.20741
1963-02-01,8.17407
1963-03-01,8.04430
1963-04-01,8.04631
1963-05-01,8.23022
1963-06-01,8.33095
1963-07-01,8.63740
1963-08-01,8.73016
1963-09-01,8.76303
1963-10-01,8.70661
1963-11-01,8.81045
1963-12-01,8.40915
1964-01-01,8.21468
1964-02-01,8.07285
1964-03-01,7.85001
1964-04-01,7.60782
1964-05-01,7.47142
1964-06-01,7.58457
1964-07-01,7.60955
1964-08-01,7.76851
1964-09-01,8.00518
1964-10-01,7.93201
1964-11-01,7.79055
1964-12-01,8.01119
1965-01-01,8.17308
1965-02-01,8.24950
1965-03-01,8.35418
1965-04-01,8.38935
1965-05-01,8.13953
1965-06-01,8.10612
1965-07-01,7.99805
1965-08-01,7.83745
1965-09-01,7.81962
1965-10-01,7.99332
1965-11-01,7.98578
1965-12-01,8.12338
1966-01-01,8.07018
1966-02-01,7.94610
1966-03-01,7.84857
1966-04-01,7.78594
1966-05-01,7.54976
1966-06-01,7.06658
1966-07-01,6.32197
1966-08-01,6.01166
1966-09-01,5.76196
1966-10-01,5.10384
1966-11-01,4.73996
1966-12-01,4.57317
1967-01-01,4.24242
1967-02-01,4.41240
1967-03-01,4.81592
1967-04-01,4.85830
1967-05-01,5.76473
1967-06-01,6.53650
1967-07-01,7.51752
1967-08-01,8.08295
1967-09-01,8.26672
1967-10-01,8.93420
1967-11-01,9.19757
1967-12-01,9.28780
1968-01-01,9.50997
1968-02-01,9.33828
1968-03-01,8.88299
1968-04-01,8.85999
1968-05-01,8.38697
1968-06-01,8.08765
1968-07-01,7.76220
1968-08-01,7.55677
1968-09-01,7.55780
1968-10-01,7.60324
1968-11-01,7.90483
1968-12-01,8.00305
1969-01-01,7.94463
1969-02-01,7.82428
1969-03-01,7.72693
1969-04-01,7.46687
1969-05-01,6.97718
1969-06-01,6.61629
1969-07-01,6.21334
1969-08-01,5.58791
1969-09-01,5.14812
1969-10-01,4.62697
1969-11-01,4.08962
1969-12-01,3.72265
1970-01-01,3.56578
1970-02-01,2.51792
1970-03-01,2.24582
1970-04-01,2.20601
1970-05-01,2.60191
1970-06-01,2.88678
1970-07-01,3.38223
1970-08-01,4.27512
1970-09-01,4.99914
1970-10-01,5.65650
1970-11-01,6.09839
1970-12-01,6.56574
1971-01-01,7.34396
1971-02-01,9.32969
1971-03-01,10.65895
1971-04-01,11.89667
1971-05-01,12.71344
1971-06-01,13.07124
1971-07-01,13.43682
1971-08-01,13.32452
1971-09-01,13.30170
1971-10-01,13.30305
1971-11-01,13.44389
1971-12-01,13.37590
1972-01-01,13.39864
1972-02-01,13.21373
1972-03-01,12.86352
1972-04-01,12.15067
1972-05-01,11.48943
1972-06-01,11.39673
1972-07-01,11.75692
1972-08-01,12.13713
1972-09-01,12.38989
1972-10-01,12.67182
1972-11-01,12.67386
1972-12-01,12.95227
1973-01-01,12.90233
1973-02-01,12.18134
1973-03-01,11.15201
1973-04-01,11.01029
1973-05-01,11.23369
1973-06-01,11.15113
1973-07-01,10.13825
1973-08-01,9.11929
1973-09-01,7.83759
1973-10-01,7.07841
1973-11-01,6.92782
1973-12-01,6.63094
1974-01-01,6.09651
1974-02-01,6.15404
1974-03-01,6.72145
1974-04-01,6.49018
1974-05-01,5.78133
1974-06-01,5.34021
1974-07-01,5.36760
1974-08-01,5.40057
1974-09-01,5.79054
1974-10-01,6.01709
1974-11-01,5.85464
1974-12-01,5.44711
1975-01-01,5.42050
1975-02-01,5.77413
1975-03-01,6.30962
1975-04-01,7.12567
1975-05-01,8.38097
1975-06-01,9.70608
1975-07-01,10.63081
1975-08-01,11.19783
1975-09-01,11.66798
1975-10-01,11.69820
1975-11-01,12.05208
1975-12-01,12.64827
1976-01-01,13.27375
1976-02-01,13.80593
1976-03-01,13.51351
